order_item_id,order_id,product_id,quantity,unit_price
1,1,13,3.0,13965.78
2,1,31,5.0,35120.83
3,2,49,2.0,20030.09
4,2,19,2.0,6328.83
5,2,61,1.0,37568.8
6,2,23,4.0,28909.87
7,3,18,5.0,36513.62
8,3,69,3.0,30487.61
9,3,63,3.0,7992.07
10,3,33,5.0,26753.58
12,5,8,2.0,10022.0
13,5,33,4.0,26753.58
14,6,58,3.0,43052.91
15,7,47,3.0,26994.97
16,7,72,5.0,45932.83
17,7,33,3.0,26753.58
18,8,53,1.0,7726.78
19,9,87,5.0,49757.95
20,9,26,5.0,42780.35
22,10,100,3.0,39252.51
23,10,46,3.0,12406.71
24,11,100,4.0,39252.51
25,11,11,4.0,37964.49
26,11,79,3.0,40819.56
27,11,60,2.0,34117.35
28,12,82,3.0,8339.84
29,12,54,5.0,39624.76
30,13,10,1.0,29504.36
31,13,21,3.0,41487.29
32,13,30,3.0,10554.4
33,13,41,3.0,45665.49
34,14,78,4.0,4374.11
35,14,35,4.0,13570.4
36,14,100,3.0,39252.51
37,15,53,2.0,7726.78
38,15,24,1.0,2386.64
39,15,17,2.0,30225.93
40,15,85,3.0,37787.73
41,16,27,2.0,19068.3
42,17,14,1.0,47864.93
43,17,9,4.0,21034.04
44,17,71,1.0,27015.01
45,17,4,4.0,4438.25
46,18,14,3.0,47864.93
47,19,11,4.0,37964.49
48,19,40,2.0,13460.27
49,20,95,3.0,42995.81
50,20,57,2.0,26502.81
53,22,42,4.0,43830.74
54,22,60,5.0,34117.35
55,22,35,5.0,13570.4
56,23,18,5.0,36513.62
57,23,23,5.0,28909.87
58,23,77,4.0,43912.68
59,23,81,5.0,33021.57
60,24,68,5.0,42099.3
61,24,40,3.0,13460.27
62,24,62,5.0,5666.45
63,24,30,1.0,10554.4
64,25,40,3.0,13460.27
65,25,53,3.0,7726.78
66,25,20,3.0,4032.13
67,25,2,1.0,12320.1
68,26,45,3.0,7229.29
69,26,61,5.0,37568.8
70,27,89,4.0,22629.16
71,28,39,1.0,40271.79
72,28,99,4.0,28852.96
73,28,38,5.0,11529.5
74,28,30,1.0,10554.4
75,29,25,4.0,38676.11
76,29,72,4.0,45932.83
77,29,51,2.0,25525.36
78,30,92,4.0,11582.73
79,30,49,2.0,20030.09
80,31,11,4.0,37964.49
81,31,81,2.0,33021.57
82,31,67,5.0,43538.88
83,32,37,5.0,42158.31
84,32,35,4.0,13570.4
85,32,25,1.0,38676.11
86,33,18,3.0,36513.62
87,33,15,4.0,5200.29
88,34,35,5.0,13570.4
89,34,63,2.0,7992.07
90,34,42,1.0,43830.74
91,34,20,1.0,4032.13
92,35,24,1.0,2386.64
93,36,35,2.0,13570.4
94,36,92,4.0,11582.73
95,36,94,1.0,11524.2
96,37,12,2.0,34937.16
97,37,2,4.0,12320.1
98,38,44,4.0,19842.03
99,38,40,4.0,13460.27
100,39,60,1.0,34117.35
101,39,43,1.0,10710.06
102,39,97,2.0,33481.99
103,40,35,4.0,13570.4
104,41,70,4.0,18758.3
105,42,25,3.0,38676.11
106,42,49,1.0,20030.09
107,43,99,2.0,28852.96
108,44,99,4.0,28852.96
109,44,32,1.0,30495.64
110,44,26,4.0,42780.35
111,44,95,1.0,42995.81
112,45,61,4.0,37568.8
113,45,88,3.0,21961.19
114,46,21,1.0,41487.29
115,46,96,5.0,25756.39
116,46,67,1.0,43538.88
117,47,62,3.0,5666.45
118,47,26,3.0,42780.35
119,47,7,2.0,30140.73
120,48,31,4.0,35120.83
121,49,2,2.0,12320.1
122,49,36,5.0,11058.8
123,49,16,4.0,4926.15
124,50,2,1.0,12320.1
125,50,75,4.0,43948.22
126,51,48,1.0,21478.85
127,51,32,2.0,30495.64
128,52,12,5.0,34937.16
129,52,44,1.0,19842.03
130,52,8,3.0,10022.0
131,52,83,2.0,43634.41
132,53,17,4.0,30225.93
133,54,41,5.0,45665.49
134,54,83,3.0,43634.41
135,55,94,2.0,11524.2
136,55,3,4.0,36849.91
137,55,46,2.0,12406.71
138,55,33,1.0,26753.58
139,56,91,4.0,1149.61
140,56,72,3.0,45932.83
141,56,70,4.0,18758.3
142,56,25,5.0,38676.11
143,57,70,3.0,18758.3
144,57,42,4.0,43830.74
145,58,77,5.0,43912.68
146,58,21,1.0,41487.29
147,58,68,2.0,42099.3
148,59,38,3.0,11529.5
149,59,70,3.0,18758.3
150,59,59,1.0,34046.14
151,59,100,5.0,39252.51
152,60,94,2.0,11524.2
153,60,3,5.0,36849.91
154,60,47,5.0,26994.97
155,60,31,3.0,35120.83
156,61,85,5.0,37787.73
157,62,25,5.0,38676.11
158,62,88,4.0,21961.19
159,62,99,5.0,28852.96
160,62,20,5.0,4032.13
161,63,42,4.0,43830.74
162,63,83,3.0,43634.41
163,63,15,1.0,5200.29
165,65,5,2.0,1685.96
166,65,14,4.0,47864.93
167,66,13,1.0,13965.78
168,66,74,4.0,5682.2
169,67,68,5.0,42099.3
170,67,90,5.0,11312.4
171,67,33,1.0,26753.58
172,67,47,2.0,26994.97
173,68,2,2.0,12320.1
174,69,11,4.0,37964.49
175,69,82,1.0,8339.84
176,69,47,5.0,26994.97
177,69,96,4.0,25756.39
178,70,91,1.0,1149.61
179,70,79,3.0,40819.56
180,70,68,1.0,42099.3
181,71,39,1.0,40271.79
182,72,67,1.0,43538.88
183,72,13,2.0,13965.78
184,73,25,2.0,38676.11
185,73,68,2.0,42099.3
186,73,73,2.0,16275.39
187,73,72,5.0,45932.83
188,74,96,1.0,25756.39
189,74,99,5.0,28852.96
190,74,46,4.0,12406.71
191,74,90,4.0,11312.4
192,75,22,2.0,44284.04
193,76,65,3.0,48597.22
194,76,85,2.0,37787.73
195,76,69,5.0,30487.61
196,76,57,3.0,26502.81
197,77,71,3.0,27015.01
198,77,48,4.0,21478.85
199,77,98,4.0,27007.77
200,78,78,2.0,4374.11
201,78,73,5.0,16275.39
202,78,28,4.0,31820.65
203,79,47,4.0,26994.97
204,79,58,4.0,43052.91
205,79,1,1.0,1348.04
206,80,77,1.0,43912.68
